Model,Predictions,Pearson r,Spearman rho
Decision Tree,2552,-0.22943459698127983,-0.22143910843735717
Random Forest,2552,-0.24529715830500023,-0.23027196877035921
Extra Trees,2552,-0.23592191858294628,-0.21403584623896324
HistGradientBoosting,2552,-0.22546431540011902,-0.19620852974450967
