Family-level factor,Pearson r,Spearman rho
Mean max Tanimoto,-0.6398024105633461,-0.7818181818181819
Absolute Tg median shift (°C),0.5161025559391692,0.41913548377194887
Tg IQR deviation from 1,0.0028923726644065205,-0.05454545454545456
Test structures,-0.003839830407292467,0.05454545454545456
